Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,server\Tailwind.Mail.csproj,File,server\Tailwind.Mail.csproj,,,Microsoft.AspNetCore.Diagnostics.EntityFrameworkCore 7.0.11,,,,,"Microsoft.AspNetCore.Diagnostics.EntityFrameworkCore, 7.0.11  Recommendation:  Remove Microsoft.AspNetCore.Diagnostics.EntityFrameworkCore, and replace with new package Microsoft.AspNetCore.Diagnostics.EntityFrameworkCore 10.0.0"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,server\Tailwind.Mail.csproj,File,server\Tailwind.Mail.csproj,,,Microsoft.AspNetCore.Mvc.Testing 7.0.2,,,,,"Microsoft.AspNetCore.Mvc.Testing, 7.0.2  Recommendation:  Remove Microsoft.AspNetCore.Mvc.Testing, and replace with new package Microsoft.AspNetCore.Mvc.Testing 10.0.0"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,server\Tailwind.Mail.csproj,File,server\Tailwind.Mail.csproj,,,Microsoft.AspNetCore.OpenApi 8.0.1,,,,,"Microsoft.AspNetCore.OpenApi, 8.0.1  Recommendation:  Remove Microsoft.AspNetCore.OpenApi, and replace with new package Microsoft.AspNetCore.OpenApi 10.0.0"
NuGet.0004,NuGet package contains security vulnerability,Active,Optional,1,server\Tailwind.Mail.csproj,File,server\Tailwind.Mail.csproj,,,Npgsql 8.0.1,,,,,"Npgsql, 8.0.1  Recommendation:  Npgsql, 10.0.0"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,server\Tailwind.Mail.csproj,File,server\Tailwind.Mail.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,server\Tailwind.Mail.csproj,File,server\Services\AI.cs,20,6,T:System.Uri,,,,,"Uri azureOpenAIResourceUri = new(config.Get(""AZURE_OPENAI_ENDPOINT""));"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,server\Tailwind.Mail.csproj,File,server\Services\AI.cs,20,6,M:System.Uri.#ctor(System.String),,,,,"Uri azureOpenAIResourceUri = new(config.Get(""AZURE_OPENAI_ENDPOINT""));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,server\Tailwind.Mail.csproj,File,server\Services\BackgroundSend.cs,48,6,M:System.TimeSpan.FromMinutes(System.Double),,,,,"await Task.Delay(TimeSpan.FromMinutes(1), stoppingToken);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,server\Tailwind.Mail.csproj,File,server\Program.cs,17,4,T:System.Uri,,,,,"options.SwaggerDoc(""v1"", new OpenApiInfo      {          Version = ""0.0.1"",          Title = ""Tailwind Traders Mail Services API"",          Description = ""Transactional and bulk email sending services for Tailwind Traders."",          Contact = new OpenApiContact          {              Name = ""Rob Conery, Aaron Wislang, and the Tailwind Traders Team"",              Url = new Uri(""https://tailwindtraders.dev"")          },          License = new OpenApiLicense          {              Name = ""MIT"",              Url = new Uri(""https://opensource.org/license/mit/"")          }      });"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,server\Tailwind.Mail.csproj,File,server\Program.cs,17,4,M:System.Uri.#ctor(System.String),,,,,"options.SwaggerDoc(""v1"", new OpenApiInfo      {          Version = ""0.0.1"",          Title = ""Tailwind Traders Mail Services API"",          Description = ""Transactional and bulk email sending services for Tailwind Traders."",          Contact = new OpenApiContact          {              Name = ""Rob Conery, Aaron Wislang, and the Tailwind Traders Team"",              Url = new Uri(""https://tailwindtraders.dev"")          },          License = new OpenApiLicense          {              Name = ""MIT"",              Url = new Uri(""https://opensource.org/license/mit/"")          }      });"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,server\Tailwind.Mail.csproj,File,server\Program.cs,17,4,T:System.Uri,,,,,"options.SwaggerDoc(""v1"", new OpenApiInfo      {          Version = ""0.0.1"",          Title = ""Tailwind Traders Mail Services API"",          Description = ""Transactional and bulk email sending services for Tailwind Traders."",          Contact = new OpenApiContact          {              Name = ""Rob Conery, Aaron Wislang, and the Tailwind Traders Team"",              Url = new Uri(""https://tailwindtraders.dev"")          },          License = new OpenApiLicense          {              Name = ""MIT"",              Url = new Uri(""https://opensource.org/license/mit/"")          }      });"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,server\Tailwind.Mail.csproj,File,server\Program.cs,17,4,T:System.Uri,,,,,"options.SwaggerDoc(""v1"", new OpenApiInfo      {          Version = ""0.0.1"",          Title = ""Tailwind Traders Mail Services API"",          Description = ""Transactional and bulk email sending services for Tailwind Traders."",          Contact = new OpenApiContact          {              Name = ""Rob Conery, Aaron Wislang, and the Tailwind Traders Team"",              Url = new Uri(""https://tailwindtraders.dev"")          },          License = new OpenApiLicense          {              Name = ""MIT"",              Url = new Uri(""https://opensource.org/license/mit/"")          }      });"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,server\Tailwind.Mail.csproj,File,server\Program.cs,17,4,M:System.Uri.#ctor(System.String),,,,,"options.SwaggerDoc(""v1"", new OpenApiInfo      {          Version = ""0.0.1"",          Title = ""Tailwind Traders Mail Services API"",          Description = ""Transactional and bulk email sending services for Tailwind Traders."",          Contact = new OpenApiContact          {              Name = ""Rob Conery, Aaron Wislang, and the Tailwind Traders Team"",              Url = new Uri(""https://tailwindtraders.dev"")          },          License = new OpenApiLicense          {              Name = ""MIT"",              Url = new Uri(""https://opensource.org/license/mit/"")          }      });"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,server\Tailwind.Mail.csproj,File,server\Program.cs,17,4,T:System.Uri,,,,,"options.SwaggerDoc(""v1"", new OpenApiInfo      {          Version = ""0.0.1"",          Title = ""Tailwind Traders Mail Services API"",          Description = ""Transactional and bulk email sending services for Tailwind Traders."",          Contact = new OpenApiContact          {              Name = ""Rob Conery, Aaron Wislang, and the Tailwind Traders Team"",              Url = new Uri(""https://tailwindtraders.dev"")          },          License = new OpenApiLicense          {              Name = ""MIT"",              Url = new Uri(""https://opensource.org/license/mit/"")          }      });"
